roll_no,name,gender,city,department,semester,study_hours_per_day,sleep_hours,attendance_pct,prev_gpa,assignment_score,quiz_avg,lab_score,participation_score,stress_level,internet_hours,part_time_job,family_support,commute_hours,health_score,extracurricular,final_score,grade,final_gpa,outcome
STU-0001,Imran Sheikh,Male,Peshawar,CS,4,5.8,8.6,87.8,3.11,83.4,80.6,73.8,5.7,4.9,3.2,0,7.5,1.4,5.5,0,54.3,D,1.0,At-Risk
STU-0002,Ayesha Malik,Male,Quetta,BBA,3,6.7,8.1,76.5,3.32,52.2,58.7,79.2,3.4,5.0,6.1,0,5.6,1.1,7.2,1,30.2,F,0.0,Fail
STU-0003,Maria Butt,Male,Islamabad,Med,5,7.4,7.6,75.0,2.87,66.7,84.9,71.8,5.5,2.6,3.5,0,5.9,1.2,7.9,0,54.1,D,1.0,At-Risk
STU-0004,Bilal Sheikh,Female,Peshawar,Mech,8,6.5,8.1,88.5,2.76,97.0,80.8,89.3,2.6,5.3,3.4,0,8.9,1.6,7.6,0,56.5,D,1.0,At-Risk
STU-0005,Zara Ali,Female,Lahore,CS,2,7.8,8.8,95.1,3.21,88.0,74.4,80.7,5.4,5.7,4.4,0,6.7,1.3,7.8,0,72.0,B,3.0,Pass
STU-0006,Imran Butt,Female,Islamabad,BBA,6,8.3,8.3,76.4,3.88,71.4,75.9,89.4,8.7,5.9,3.7,0,5.9,0.5,8.0,0,70.8,B,3.0,Pass
STU-0007,Hassan Chaudhry,Male,Islamabad,BBA,5,6.6,9.1,96.8,3.07,50.0,69.4,91.3,7.3,5.1,2.3,1,7.4,2.2,7.4,0,60.9,C,2.0,At-Risk
STU-0008,Usman Malik,Male,Islamabad,BBA,1,4.8,7.0,97.6,2.62,87.7,54.4,63.4,8.9,4.8,4.1,1,6.7,0.8,6.7,0,37.1,F,0.0,Fail
STU-0009,Kamran Butt,Male,Karachi,Civil,8,7.8,9.7,82.5,2.19,75.3,59.5,81.1,8.3,3.9,3.1,0,5.4,1.4,9.1,1,51.4,D,1.0,At-Risk
STU-0010,Tariq Khan,Male,Islamabad,Mech,5,8.9,8.2,81.2,3.8,73.2,74.5,84.3,3.8,2.7,1.5,0,6.1,1.6,7.8,0,90.4,A+,4.0,Pass
STU-0011,Ahmed Iqbal,Male,Karachi,CS,7,5.4,9.3,89.6,2.51,85.8,75.7,80.3,6.3,2.3,3.8,0,8.9,1.8,3.6,1,61.3,C,2.0,At-Risk
STU-0012,Ayesha Iqbal,Male,Lahore,Civil,5,6.6,7.4,67.4,3.05,76.8,79.2,94.8,6.9,3.3,4.0,0,6.5,0.8,8.1,0,54.1,D,1.0,At-Risk
STU-0013,Kamran Khan,Male,Lahore,Med,7,9.0,9.4,87.8,2.76,72.3,89.0,70.4,6.5,1.8,4.5,0,9.8,1.4,6.6,0,91.2,A+,4.0,Pass
STU-0014,Kamran Iqbal,Female,Lahore,Civil,1,6.4,8.6,85.6,2.61,94.0,86.3,73.7,2.9,1.6,9.3,0,8.5,1.0,8.2,0,52.0,D,1.0,At-Risk
STU-0015,Hassan Hassan,Male,Islamabad,Civil,7,8.5,8.8,98.3,2.68,79.0,92.6,77.2,5.2,2.0,2.3,0,6.1,1.4,8.4,0,94.7,A+,4.0,Pass
STU-0016,Ayesha Ahmed,Female,Quetta,CS,5,5.6,7.6,93.2,2.79,76.5,90.3,68.3,7.0,5.8,5.2,0,8.2,0.9,8.7,0,46.7,F,0.0,Fail
STU-0017,Rabia Hussain,Male,Peshawar,Civil,5,4.7,7.7,85.5,3.36,76.4,54.4,97.1,6.8,5.6,5.3,0,4.3,1.3,8.4,0,29.2,F,0.0,Fail
STU-0018,Hina Hassan,Female,Islamabad,CS,8,6.3,6.3,73.5,2.0,71.7,57.5,61.1,6.7,1.5,6.3,0,8.4,0.5,7.7,1,17.9,F,0.0,Fail
STU-0019,Kamran Iqbal,Female,Islamabad,Civil,2,7.4,7.7,84.8,3.18,84.1,68.4,61.0,4.9,4.1,1.2,1,4.4,1.8,6.3,0,36.6,F,0.0,Fail
STU-0020,Hina Hassan,Male,Islamabad,Civil,6,6.6,7.9,78.0,3.82,73.0,86.3,79.1,4.1,2.8,2.3,0,6.0,1.9,4.8,0,82.3,A,4.0,Pass
STU-0021,Sara Khan,Male,Lahore,CS,3,8.1,8.1,84.5,3.05,77.5,65.9,75.2,5.5,5.7,2.8,0,8.2,2.6,9.7,0,53.6,D,1.0,At-Risk
STU-0022,Hina Khan,Male,Lahore,BBA,2,5.1,8.4,71.2,2.65,95.8,55.7,88.4,3.9,2.9,2.9,1,6.7,2.3,3.4,0,23.5,F,0.0,Fail
STU-0023,Ayesha Malik,Female,Lahore,Med,6,7.9,8.1,90.2,3.37,94.1,73.8,92.2,6.4,6.6,3.5,0,8.2,1.9,5.3,1,74.9,B,3.0,Pass
STU-0024,Sara Ahmed,Female,Karachi,Mech,2,6.5,8.4,89.0,2.97,92.0,54.7,74.1,2.7,1.6,7.3,0,9.0,0.6,4.2,1,58.5,D,1.0,At-Risk
STU-0025,Ayesha Sheikh,Female,Karachi,Civil,6,7.6,6.9,95.7,3.17,85.5,86.8,90.6,5.4,4.3,3.4,1,4.7,1.0,2.4,0,79.9,B+,3.5,Pass
